gameid,url,league,split,date,game,patch,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,dragons (type unknown),elders,opp_elders,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,1,Blue,top,Aodi,EDward Gaming,Aatrox,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,1,1,10,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18230,522.8489,0.235007,17,0.4876,5,0.1434,9,NULL,NULL,13130,8587,246.2811,0.184881,NULL,NULL,268,252,16,3,4,7.6864,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,2,Blue,jng,JunJia,EDward Gaming,Nidalee,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,5,0,11,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14428,413.805,0.185995,48,1.3767,25,0.717,11,NULL,NULL,13315,8772,251.587,0.188864,NULL,NULL,232,31,201,116,35,6.6539,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,3,Blue,mid,Scout,EDward Gaming,Syndra,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,2,2,11,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17642,505.9847,0.227427,9,0.2581,7,0.2008,6,NULL,NULL,14137,9594,275.1625,0.206563,NULL,NULL,307,276,31,21,5,8.805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,4,Blue,bot,Hope,EDward Gaming,Kalista,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,10,1,6,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16497,473.1453,0.212667,9,0.2581,16,0.4589,1,NULL,NULL,18466,13923,399.3212,0.29977,NULL,NULL,336,298,38,28,6,9.6367,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,5,Blue,sup,Meiko,EDward Gaming,Sett,Karma,Ornn,Galio,Thresh,Pantheon,2092,1,3,1,12,21,5,NULL,NULL,0,0,NULL,0,NULL,NULL,0.6023,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10775,309.0344,0.138903,65,1.8642,17,0.4876,21,NULL,NULL,10113,5570,159.7514,0.119922,NULL,NULL,39,39,0,0,0,1.1185,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,6,Red,top,Morgan,Team WE,Renekton,Varus,Graves,Trundle,Azir,Irelia,2092,0,1,5,4,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12729,365.0765,0.208706,9,0.2581,16,0.4589,5,NULL,NULL,13257,8714,249.9235,0.264842,NULL,NULL,306,302,4,4,0,8.7763,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,7,Red,jng,beishang,Team WE,Elise,Varus,Graves,Trundle,Azir,Irelia,2092,0,2,3,2,5,21,NULL,NULL,0,0,NULL,1,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7793,223.5086,0.127775,16,0.4589,11,0.3155,17,NULL,NULL,10508,5965,171.0803,0.18129,NULL,NULL,168,22,146,102,8,4.8184,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,8,Red,mid,Teacherma,Team WE,Aurelion Sol,Varus,Graves,Trundle,Azir,Irelia,2092,0,1,3,1,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8418,241.434,0.138023,15,0.4302,3,0.086,8,NULL,NULL,11595,7052,202.2562,0.214328,NULL,NULL,266,239,27,18,0,7.6291,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,9,Red,bot,Jiumeng,Team WE,Aphelios,Varus,Graves,Trundle,Azir,Irelia,2092,0,1,4,2,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27058,776.0421,0.443646,12,0.3442,18,0.5163,4,NULL,NULL,13327,8784,251.9312,0.266969,NULL,NULL,330,299,31,25,0,9.4646,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6200-7807,https://lpl.qq.com/es/stats.shtml?bmid=6200,LPL,2020-2,6/5/2020 9:24,1,10.11,10,Red,sup,Missing,Team WE,Nautilus,Varus,Graves,Trundle,Azir,Irelia,2092,0,0,6,2,5,21,NULL,NULL,0,0,NULL,0,NULL,NULL,0.1434,0.7457,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4992,143.174,0.0818495,70,2.0076,9,0.2581,17,NULL,NULL,6931,2388,68.4895,0.0725715,NULL,NULL,45,45,0,0,0,1.2906,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
